=== DANH SÁCH LUẬT KẾT HỢP (MinConf = 0.5) ===
15833 -> 40 : sup = 718.00, conf = 0.63, lift = 0.00
102 -> 49 : sup = 1311.00, conf = 0.59, lift = 0.00
33 39 42 -> 40 : sup = 622.00, conf = 0.77, lift = 0.00
40 66 -> 49 : sup = 1797.00, conf = 0.64, lift = 0.00
49 66 -> 40 : sup = 1797.00, conf = 0.71, lift = 0.00
42 66 -> 49 : sup = 663.00, conf = 0.67, lift = 0.00
33 39 40 -> 49 : sup = 1236.00, conf = 0.67, lift = 0.00
33 39 49 -> 40 : sup = 1236.00, conf = 0.75, lift = 0.00
1147 -> 40 : sup = 983.00, conf = 0.69, lift = 0.00
124 -> 40 : sup = 726.00, conf = 0.56, lift = 0.00
33 40 42 -> 49 : sup = 1646.00, conf = 0.70, lift = 0.00
33 42 49 -> 40 : sup = 1646.00, conf = 0.80, lift = 0.00
33 42 -> 40 49 : sup = 1646.00, conf = 0.52, lift = 0.00
37 39 40 -> 49 : sup = 1080.00, conf = 0.56, lift = 0.00
37 40 49 -> 39 : sup = 1080.00, conf = 0.97, lift = 0.00
37 39 49 -> 40 : sup = 1080.00, conf = 0.79, lift = 0.00
37 40 -> 39 49 : sup = 1080.00, conf = 0.53, lift = 0.00
37 49 -> 39 40 : sup = 1080.00, conf = 0.76, lift = 0.00
12926 -> 40 : sup = 938.00, conf = 0.64, lift = 0.00
40 80 -> 49 : sup = 699.00, conf = 0.63, lift = 0.00
49 80 -> 40 : sup = 699.00, conf = 0.78, lift = 0.00
39 40 42 -> 49 : sup = 1991.00, conf = 0.65, lift = 0.00
39 42 49 -> 40 : sup = 1991.00, conf = 0.84, lift = 0.00
39 42 -> 40 49 : sup = 1991.00, conf = 0.51, lift = 0.00
1147 -> 49 : sup = 811.00, conf = 0.57, lift = 0.00
42 90 -> 40 : sup = 619.00, conf = 0.85, lift = 0.00
124 -> 49 : sup = 797.00, conf = 0.61, lift = 0.00
12926 -> 49 : sup = 817.00, conf = 0.56, lift = 0.00
16011 -> 40 : sup = 829.00, conf = 0.63, lift = 0.00
40 90 -> 49 : sup = 2125.00, conf = 0.77, lift = 0.00
49 90 -> 40 : sup = 2125.00, conf = 0.76, lift = 0.00
90 -> 40 49 : sup = 2125.00, conf = 0.55, lift = 0.00
148 -> 40 : sup = 1137.00, conf = 0.64, lift = 0.00
16011 -> 49 : sup = 730.00, conf = 0.55, lift = 0.00
40 111 -> 39 : sup = 1740.00, conf = 0.99, lift = 0.00
39 111 -> 40 : sup = 1740.00, conf = 0.64, lift = 0.00
111 -> 39 40 : sup = 1740.00, conf = 0.62, lift = 0.00
40 102 -> 49 : sup = 946.00, conf = 0.68, lift = 0.00
49 102 -> 40 : sup = 946.00, conf = 0.72, lift = 0.00
42 111 -> 39 : sup = 666.00, conf = 0.98, lift = 0.00
148 -> 49 : sup = 1036.00, conf = 0.58, lift = 0.00
49 111 -> 39 : sup = 1361.00, conf = 0.99, lift = 0.00
40 111 -> 49 : sup = 1037.00, conf = 0.59, lift = 0.00
49 111 -> 40 : sup = 1037.00, conf = 0.75, lift = 0.00
162 -> 40 : sup = 622.00, conf = 0.62, lift = 0.00
678 -> 40 : sup = 635.00, conf = 0.57, lift = 0.00
171 -> 39 : sup = 3031.00, conf = 0.98, lift = 0.00
171 -> 40 : sup = 2059.00, conf = 0.66, lift = 0.00
40 1147 -> 49 : sup = 623.00, conf = 0.63, lift = 0.00
49 1147 -> 40 : sup = 623.00, conf = 0.77, lift = 0.00
678 -> 49 : sup = 666.00, conf = 0.60, lift = 0.00
176 -> 40 : sup = 631.00, conf = 0.65, lift = 0.00
180 -> 40 : sup = 653.00, conf = 0.65, lift = 0.00
171 -> 49 : sup = 1557.00, conf = 0.50, lift = 0.00
186 -> 40 : sup = 828.00, conf = 0.60, lift = 0.00
180 -> 49 : sup = 624.00, conf = 0.63, lift = 0.00
2239 -> 40 : sup = 1287.00, conf = 0.75, lift = 0.00
186 -> 49 : sup = 816.00, conf = 0.59, lift = 0.00
40 148 -> 49 : sup = 742.00, conf = 0.65, lift = 0.00
49 148 -> 40 : sup = 742.00, conf = 0.72, lift = 0.00
39 40 111 -> 49 : sup = 1031.00, conf = 0.59, lift = 0.00
40 49 111 -> 39 : sup = 1031.00, conf = 0.99, lift = 0.00
39 49 111 -> 40 : sup = 1031.00, conf = 0.76, lift = 0.00
40 111 -> 39 49 : sup = 1031.00, conf = 0.59, lift = 0.00
49 111 -> 39 40 : sup = 1031.00, conf = 0.75, lift = 0.00
2239 -> 49 : sup = 955.00, conf = 0.56, lift = 0.00
202 -> 40 : sup = 669.00, conf = 0.59, lift = 0.00
40 171 -> 39 : sup = 2019.00, conf = 0.98, lift = 0.00
39 171 -> 40 : sup = 2019.00, conf = 0.67, lift = 0.00
171 -> 39 40 : sup = 2019.00, conf = 0.65, lift = 0.00
202 -> 49 : sup = 674.00, conf = 0.59, lift = 0.00
42 171 -> 39 : sup = 794.00, conf = 0.99, lift = 0.00
42 171 -> 40 : sup = 624.00, conf = 0.78, lift = 0.00
39 171 -> 49 : sup = 1538.00, conf = 0.51, lift = 0.00
49 171 -> 39 : sup = 1538.00, conf = 0.99, lift = 0.00
40 171 -> 49 : sup = 1206.00, conf = 0.59, lift = 0.00
49 171 -> 40 : sup = 1206.00, conf = 0.77, lift = 0.00
226 -> 40 : sup = 2351.00, conf = 0.72, lift = 0.00
741 -> 40 : sup = 759.00, conf = 0.64, lift = 0.00
226 -> 49 : sup = 1736.00, conf = 0.53, lift = 0.00
238 -> 40 : sup = 1929.00, conf = 0.64, lift = 0.00
16012 -> 16011 : sup = 651.00, conf = 0.97, lift = 0.00
40 2239 -> 49 : sup = 788.00, conf = 0.61, lift = 0.00
49 2239 -> 40 : sup = 788.00, conf = 0.83, lift = 0.00
13042 -> 40 : sup = 688.00, conf = 0.65, lift = 0.00
238 -> 49 : sup = 1682.00, conf = 0.55, lift = 0.00
250 -> 40 : sup = 752.00, conf = 0.65, lift = 0.00
256 -> 40 : sup = 1057.00, conf = 0.72, lift = 0.00
259 -> 40 : sup = 628.00, conf = 0.64, lift = 0.00
250 -> 49 : sup = 675.00, conf = 0.58, lift = 0.00
39 40 171 -> 49 : sup = 1193.00, conf = 0.59, lift = 0.00
40 49 171 -> 39 : sup = 1193.00, conf = 0.99, lift = 0.00
39 49 171 -> 40 : sup = 1193.00, conf = 0.78, lift = 0.00
40 171 -> 39 49 : sup = 1193.00, conf = 0.58, lift = 0.00
49 171 -> 39 40 : sup = 1193.00, conf = 0.77, lift = 0.00
256 -> 49 : sup = 1057.00, conf = 0.72, lift = 0.00
259 -> 49 : sup = 643.00, conf = 0.65, lift = 0.00
42 226 -> 40 : sup = 726.00, conf = 0.83, lift = 0.00
271 -> 40 : sup = 1194.00, conf = 0.69, lift = 0.00
272 -> 40 : sup = 1434.00, conf = 0.68, lift = 0.00
784 -> 40 : sup = 640.00, conf = 0.66, lift = 0.00
14099 -> 40 : sup = 801.00, conf = 0.62, lift = 0.00
40 226 -> 49 : sup = 1400.00, conf = 0.60, lift = 0.00
49 226 -> 40 : sup = 1400.00, conf = 0.81, lift = 0.00
271 -> 49 : sup = 957.00, conf = 0.55, lift = 0.00
272 -> 49 : sup = 1090.00, conf = 0.52, lift = 0.00
14099 -> 49 : sup = 698.00, conf = 0.54, lift = 0.00
287 -> 39 : sup = 1116.00, conf = 0.94, lift = 0.00
287 -> 40 : sup = 750.00, conf = 0.63, lift = 0.00
40 238 -> 49 : sup = 1244.00, conf = 0.64, lift = 0.00
49 238 -> 40 : sup = 1244.00, conf = 0.74, lift = 0.00
302 -> 40 : sup = 715.00, conf = 0.59, lift = 0.00
1328 -> 40 : sup = 1156.00, conf = 0.65, lift = 0.00
40 256 -> 49 : sup = 813.00, conf = 0.77, lift = 0.00
49 256 -> 40 : sup = 813.00, conf = 0.77, lift = 0.00
256 -> 40 49 : sup = 813.00, conf = 0.55, lift = 0.00
311 -> 40 : sup = 1852.00, conf = 0.71, lift = 0.00
302 -> 49 : sup = 658.00, conf = 0.55, lift = 0.00
825 -> 40 : sup = 703.00, conf = 0.58, lift = 0.00
1328 -> 49 : sup = 968.00, conf = 0.54, lift = 0.00
311 -> 49 : sup = 1692.00, conf = 0.65, lift = 0.00
40 271 -> 49 : sup = 733.00, conf = 0.61, lift = 0.00
49 271 -> 40 : sup = 733.00, conf = 0.77, lift = 0.00
40 272 -> 49 : sup = 827.00, conf = 0.58, lift = 0.00
49 272 -> 40 : sup = 827.00, conf = 0.76, lift = 0.00
825 -> 49 : sup = 701.00, conf = 0.58, lift = 0.00
40 287 -> 39 : sup = 728.00, conf = 0.97, lift = 0.00
39 287 -> 40 : sup = 728.00, conf = 0.65, lift = 0.00
287 -> 39 40 : sup = 728.00, conf = 0.62, lift = 0.00
339 -> 40 : sup = 742.00, conf = 0.58, lift = 0.00
16218 -> 40 : sup = 728.00, conf = 0.62, lift = 0.00
339 -> 49 : sup = 779.00, conf = 0.61, lift = 0.00
42 311 -> 40 : sup = 625.00, conf = 0.87, lift = 0.00
40 1328 -> 49 : sup = 720.00, conf = 0.62, lift = 0.00
49 1328 -> 40 : sup = 720.00, conf = 0.74, lift = 0.00
16218 -> 49 : sup = 647.00, conf = 0.55, lift = 0.00
40 311 -> 49 : sup = 1347.00, conf = 0.73, lift = 0.00
49 311 -> 40 : sup = 1347.00, conf = 0.80, lift = 0.00
311 -> 40 49 : sup = 1347.00, conf = 0.52, lift = 0.00
1394 -> 40 : sup = 789.00, conf = 0.68, lift = 0.00
372 -> 39 : sup = 767.00, conf = 0.98, lift = 0.00
1394 -> 49 : sup = 669.00, conf = 0.58, lift = 0.00
2959 -> 40 : sup = 655.00, conf = 0.72, lift = 0.00
2959 -> 49 : sup = 779.00, conf = 0.86, lift = 0.00
414 -> 40 : sup = 1130.00, conf = 0.60, lift = 0.00
414 -> 49 : sup = 1135.00, conf = 0.60, lift = 0.00
439 -> 40 : sup = 1260.00, conf = 0.68, lift = 0.00
439 -> 49 : sup = 1025.00, conf = 0.55, lift = 0.00
40 414 -> 49 : sup = 781.00, conf = 0.69, lift = 0.00
49 414 -> 40 : sup = 781.00, conf = 0.69, lift = 0.00

=== BÁO CÁO HIỆU NĂNG ===
Tổng số luật sinh ra: 224
Số luật phải kiểm tra Support/Conf: 483
Số nhánh bị Tỉa (Pruned): 259
Thời gian chạy (ms): 1
