34 : 3040
66 : 3021
36 : 3099
5 : 2971
7 : 3076
40 : 3170
48 : 3013
52 : 3185
56 : 3021
58 : 3195
60 : 3149
29 : 3181
62 : 3060
66 62 : 2892
5 29 : 2964
7 29 : 3069
34 5 : 2889
34 7 : 2930
36 7 : 2979
5 40 : 2950
7 40 : 3050
48 7 : 2893
52 5 : 2960
52 7 : 3065
34 29 : 3036
5 58 : 2970
7 56 : 2919
36 29 : 3084
5 60 : 2924
7 58 : 3075
7 60 : 3031
7 62 : 2940
40 29 : 3155
34 36 : 2943
66 7 : 2906
34 40 : 3017
36 40 : 3073
48 29 : 2998
52 29 : 3170
48 36 : 2987
56 29 : 3006
34 52 : 3031
58 29 : 3180
36 52 : 3088
48 40 : 2987
60 29 : 3136
34 56 : 2884
29 62 : 3045
34 58 : 3039
36 56 : 2924
52 40 : 3159
34 60 : 2995
36 58 : 3098
66 29 : 3013
34 62 : 2913
36 60 : 3052
40 56 : 2996
36 62 : 2963
40 58 : 3169
34 66 : 2886
40 60 : 3124
48 52 : 3002
66 36 : 2924
40 62 : 3045
66 40 : 2997
48 58 : 3012
48 60 : 2986
52 56 : 3016
48 62 : 2877
52 58 : 3184
52 60 : 3138
52 62 : 3049
56 58 : 3020
56 60 : 2974
66 52 : 3010
56 62 : 2923
58 60 : 3148
58 62 : 3060
60 62 : 3014
66 58 : 3020
66 60 : 3021
34 52 58 : 3030
36 52 56 : 2919
56 60 29 : 2961
34 52 60 : 2986
36 52 58 : 3087
48 40 58 : 2986
66 52 29 : 3002
56 29 62 : 2908
58 60 29 : 3135
34 52 62 : 2904
36 52 60 : 3041
48 40 60 : 2961
34 56 58 : 2883
52 40 56 : 2991
58 29 62 : 3045
36 52 62 : 2952
36 56 58 : 2923
52 40 58 : 3158
60 29 62 : 3001
34 66 52 : 2877
34 58 60 : 2994
36 56 60 : 2877
52 40 60 : 3113
66 58 29 : 3012
66 36 52 : 2913
34 58 62 : 2913
52 40 62 : 3034
36 58 60 : 3051
40 56 58 : 2995
66 60 29 : 3013
36 58 62 : 2963
40 56 60 : 2950
66 29 62 : 2884
34 66 58 : 2885
66 52 40 : 2986
36 60 62 : 2917
40 56 62 : 2909
40 58 60 : 3123
48 52 58 : 3001
34 66 60 : 2886
66 36 58 : 2923
40 58 62 : 3045
48 52 60 : 2975
66 36 60 : 2924
40 60 62 : 2999
66 40 58 : 2996
66 40 60 : 2997
48 58 60 : 2985
52 56 58 : 3015
66 40 62 : 2877
48 58 62 : 2877
52 56 60 : 2969
52 56 62 : 2918
52 58 60 : 3137
52 58 62 : 3049
52 60 62 : 3003
56 58 60 : 2973
66 52 58 : 3009
56 58 62 : 2923
66 52 60 : 3010
56 60 62 : 2877
66 52 62 : 2881
58 60 62 : 3014
66 58 60 : 3020
66 58 62 : 2892
66 60 62 : 2892
34 7 40 29 : 2905
36 7 40 29 : 2946
34 52 7 29 : 2919
36 52 7 29 : 2961
34 5 58 29 : 2884
52 5 40 29 : 2932
34 7 58 29 : 2927
52 7 40 29 : 3032
34 7 60 29 : 2883
36 7 58 29 : 2971
36 7 60 29 : 2927
5 40 58 29 : 2942
7 40 56 29 : 2887
34 52 7 40 : 2898
5 40 60 29 : 2899
7 40 58 29 : 3042
36 52 7 40 : 2942
7 40 60 29 : 2999
7 40 29 62 : 2918
34 7 40 58 : 2906
34 36 40 29 : 2916
36 7 40 58 : 2952
66 7 40 29 : 2878
48 7 58 29 : 2885
36 7 40 60 : 2909
52 5 58 29 : 2952
52 7 56 29 : 2907
52 5 60 29 : 2908
52 7 58 29 : 3057
52 7 60 29 : 3013
34 52 5 58 : 2879
52 7 29 62 : 2922
7 56 58 29 : 2911
34 52 7 58 : 2920
34 36 52 29 : 2930
5 58 60 29 : 2918
36 52 7 58 : 2967
48 36 40 29 : 2946
66 52 7 29 : 2891
7 58 60 29 : 3023
36 52 7 60 : 2923
52 5 40 58 : 2938
52 7 40 56 : 2889
34 52 40 29 : 3004
7 58 29 62 : 2933
52 5 40 60 : 2893
52 7 40 58 : 3038
34 36 58 29 : 2938
36 52 40 29 : 3047
7 60 29 62 : 2889
34 7 58 60 : 2884
52 7 40 60 : 2995
34 36 60 29 : 2894
66 7 58 29 : 2901
52 7 40 62 : 2914
36 7 58 60 : 2933
7 40 56 58 : 2893
34 40 58 29 : 3012
36 40 56 29 : 2884
66 7 60 29 : 2902
34 36 52 40 : 2911
5 40 58 60 : 2903
34 40 60 29 : 2969
36 40 58 29 : 3057
34 40 29 62 : 2897
7 40 58 60 : 3005
36 40 60 29 : 3014
48 52 7 58 : 2881
48 36 52 29 : 2961
7 40 58 62 : 2925
36 40 29 62 : 2933
34 36 40 58 : 2919
7 40 60 62 : 2881
48 52 40 29 : 2961
66 7 40 58 : 2881
66 36 40 29 : 2892
48 36 58 29 : 2971
66 7 40 60 : 2882
48 36 60 29 : 2947
52 7 56 58 : 2913
34 52 58 29 : 3026
36 52 56 29 : 2904
52 5 58 60 : 2912
34 52 60 29 : 2982
36 52 58 29 : 3072
48 40 58 29 : 2971
48 36 52 40 : 2950
34 52 29 62 : 2900
52 7 58 60 : 3019
36 52 60 29 : 3028
48 40 60 29 : 2948
34 56 58 29 : 2879
52 40 56 29 : 2976
52 7 58 62 : 2929
36 52 29 62 : 2937
36 56 58 29 : 2908
52 40 58 29 : 3143
34 36 52 58 : 2933
52 7 60 62 : 2885
34 58 60 29 : 2990
52 40 60 29 : 3100
34 36 52 60 : 2889
48 36 40 58 : 2960
66 52 7 58 : 2894
66 36 52 29 : 2905
34 58 29 62 : 2909
52 40 29 62 : 3019
36 58 60 29 : 3038
40 56 58 29 : 2980
48 36 40 60 : 2935
34 52 40 58 : 3007
36 52 40 56 : 2894
66 52 7 60 : 2895
36 58 29 62 : 2948
40 56 60 29 : 2937
34 52 40 60 : 2964
36 52 40 58 : 3061
34 66 58 29 : 2881
66 52 40 29 : 2978
36 60 29 62 : 2904
7 58 60 62 : 2896
40 56 29 62 : 2894
40 58 60 29 : 3110
48 52 58 29 : 2986
34 52 40 62 : 2892
34 36 58 60 : 2897
36 52 40 60 : 3016
34 66 60 29 : 2882
66 36 58 29 : 2915
40 58 29 62 : 3030
48 52 60 29 : 2962
36 52 40 62 : 2937
36 40 56 58 : 2898
66 36 60 29 : 2916
66 7 58 60 : 2905
40 60 29 62 : 2986
34 40 58 60 : 2972
66 40 58 29 : 2988
66 36 52 40 : 2889
34 40 58 62 : 2901
36 40 58 60 : 3026
48 36 52 58 : 2975
66 40 60 29 : 2989
48 58 60 29 : 2972
52 56 58 29 : 3000
36 40 58 62 : 2948
48 36 52 60 : 2949
52 56 60 29 : 2956
36 40 60 62 : 2902
48 52 40 58 : 2975
52 56 29 62 : 2903
52 58 60 29 : 3124
66 36 40 58 : 2899
48 52 40 60 : 2950
34 52 56 58 : 2878
52 58 29 62 : 3034
66 36 40 60 : 2900
48 36 58 60 : 2959
36 52 56 58 : 2918
52 60 29 62 : 2990
56 58 60 29 : 2960
34 52 58 60 : 2985
66 52 58 29 : 3001
56 58 29 62 : 2908
34 52 58 62 : 2904
36 52 58 60 : 3040
48 40 58 60 : 2960
52 40 56 58 : 2990
66 52 60 29 : 3002
36 52 58 62 : 2952
52 40 56 60 : 2945
58 60 29 62 : 3001
36 52 60 62 : 2906
52 40 56 62 : 2904
52 40 58 60 : 3112
34 66 52 60 : 2877
66 36 52 58 : 2912
52 40 58 62 : 3034
66 58 60 29 : 3012
66 36 52 60 : 2913
52 40 60 62 : 2988
40 56 58 60 : 2949
66 58 29 62 : 2884
66 52 40 58 : 2985
36 58 60 62 : 2917
40 56 58 62 : 2909
66 60 29 62 : 2884
34 66 58 60 : 2885
66 52 40 60 : 2986
48 52 58 60 : 2974
66 36 58 60 : 2923
40 58 60 62 : 2999
66 40 58 60 : 2996
66 40 58 62 : 2877
52 56 58 60 : 2968
66 40 60 62 : 2877
52 56 58 62 : 2918
52 58 60 62 : 3003
66 52 58 60 : 3009
56 58 60 62 : 2877
66 52 58 62 : 2881
66 52 60 62 : 2881
66 58 60 62 : 2892
36 40 58 60 62 : 2902
52 56 58 29 62 : 2903
48 52 40 58 60 : 2949
66 36 40 58 60 : 2899
52 58 60 29 62 : 2990
66 52 58 60 29 : 3001
52 40 56 58 60 : 2944
36 52 58 60 62 : 2906
52 40 56 58 62 : 2904
66 36 52 58 60 : 2912
52 40 58 60 62 : 2988
66 58 60 29 62 : 2884
66 52 40 58 60 : 2985
66 40 58 60 62 : 2877
66 52 58 60 62 : 2881
34 52 7 40 29 : 2896
36 52 7 40 29 : 2935
34 7 40 58 29 : 2904
36 7 40 58 29 : 2945
36 7 40 60 29 : 2902
34 52 7 58 29 : 2918
36 52 7 58 29 : 2960
36 52 7 60 29 : 2916
52 5 40 58 29 : 2931
52 7 40 56 29 : 2882
52 5 40 60 29 : 2888
52 7 40 58 29 : 3031
34 7 58 60 29 : 2882
52 7 40 60 29 : 2988
52 7 40 29 62 : 2907
36 7 58 60 29 : 2926
7 40 56 58 29 : 2886
34 52 7 40 58 : 2897
34 36 52 40 29 : 2907
5 40 58 60 29 : 2898
36 52 7 40 58 : 2941
7 40 58 60 29 : 2998
36 52 7 40 60 : 2898
7 40 58 29 62 : 2918
34 36 40 58 29 : 2915
66 7 40 58 29 : 2877
36 7 40 58 60 : 2908
66 7 40 60 29 : 2878
52 7 56 58 29 : 2906
52 5 58 60 29 : 2907
48 36 52 40 29 : 2935
52 7 58 60 29 : 3012
52 7 58 29 62 : 2922
34 36 52 58 29 : 2929
52 7 60 29 62 : 2878
34 36 52 60 29 : 2885
48 36 40 58 29 : 2945
66 52 7 58 29 : 2890
36 52 7 58 60 : 2922
48 36 40 60 29 : 2922
52 7 40 56 58 : 2888
34 52 40 58 29 : 3003
36 52 40 56 29 : 2879
66 52 7 60 29 : 2891
52 5 40 58 60 : 2892
34 52 40 60 29 : 2960
36 52 40 58 29 : 3046
7 58 60 29 62 : 2889
34 52 40 29 62 : 2888
52 7 40 58 60 : 2994
34 36 58 60 29 : 2893
36 52 40 60 29 : 3003
52 7 40 58 62 : 2914
36 52 40 29 62 : 2922
36 40 56 58 29 : 2883
66 7 58 60 29 : 2901
34 36 52 40 58 : 2910
34 40 58 60 29 : 2968
66 36 52 40 29 : 2881
34 40 58 29 62 : 2897
36 40 58 60 29 : 3013
48 36 52 58 29 : 2960
36 40 58 29 62 : 2933
48 36 52 60 29 : 2936
7 40 58 60 62 : 2881
36 40 60 29 62 : 2889
48 52 40 58 29 : 2960
66 36 40 58 29 : 2891
48 52 40 60 29 : 2937
66 7 40 58 60 : 2881
66 36 40 60 29 : 2892
48 36 58 60 29 : 2946
36 52 56 58 29 : 2903
34 52 58 60 29 : 2981
48 36 52 40 58 : 2949
34 52 58 29 62 : 2900
36 52 58 60 29 : 3027
48 40 58 60 29 : 2947
52 40 56 58 29 : 2975
48 36 52 40 60 : 2924
36 52 58 29 62 : 2937
52 40 56 60 29 : 2932
52 7 58 60 62 : 2885
36 52 60 29 62 : 2893
52 40 56 29 62 : 2889
52 40 58 60 29 : 3099
34 36 52 58 60 : 2888
66 36 52 58 29 : 2904
52 40 58 29 62 : 3019
48 36 40 58 60 : 2934
36 52 40 56 58 : 2893
66 52 7 58 60 : 2894
66 36 52 60 29 : 2905
52 40 60 29 62 : 2975
40 56 58 60 29 : 2936
34 52 40 58 60 : 2963
66 52 40 58 29 : 2977
36 58 60 29 62 : 2904
40 56 58 29 62 : 2894
34 52 40 58 62 : 2892
36 52 40 58 60 : 3015
34 66 58 60 29 : 2881
66 52 40 60 29 : 2978
48 52 58 60 29 : 2961
36 52 40 58 62 : 2937
66 36 58 60 29 : 2915
40 58 60 29 62 : 2986
36 52 40 60 62 : 2891
66 36 52 40 58 : 2888
66 40 58 60 29 : 2988
66 36 52 40 60 : 2889
48 36 52 58 60 : 2948
52 56 58 60 29 : 2955
66 7 40 58 60 29 : 2877
48 36 52 40 58 29 : 2934
48 36 52 40 60 29 : 2911
52 7 58 60 29 62 : 2878
34 36 52 58 60 29 : 2884
48 36 40 58 60 29 : 2921
36 52 40 56 58 29 : 2878
66 52 7 58 60 29 : 2890
34 52 40 58 60 29 : 2959
34 52 40 58 29 62 : 2888
36 52 40 58 60 29 : 3002
36 52 40 58 29 62 : 2922
36 52 40 60 29 62 : 2878
66 36 52 40 58 29 : 2880
66 36 52 40 60 29 : 2881
48 36 52 58 60 29 : 2935
34 52 7 40 58 29 : 2895
36 40 58 60 29 62 : 2889
36 52 7 40 58 29 : 2934
48 52 40 58 60 29 : 2936
36 52 7 40 60 29 : 2891
66 36 40 58 60 29 : 2891
48 52 36 40 58 60 : 2923
36 7 40 58 60 29 : 2901
52 40 56 58 60 29 : 2931
52 56 40 58 29 62 : 2889
52 36 58 60 29 62 : 2893
52 40 58 60 29 62 : 2975
66 52 36 58 60 29 : 2904
66 52 40 58 60 29 : 2977
36 52 7 58 60 29 : 2915
52 7 40 56 58 29 : 2881
36 52 40 58 60 62 : 2891
52 5 40 58 60 29 : 2887
52 7 40 58 60 29 : 2987
66 36 52 40 58 60 : 2888
52 7 40 58 29 62 : 2907
34 36 52 40 58 29 : 2906
36 52 7 40 58 60 : 2897
36 52 40 58 60 29 62 : 2878
48 36 52 40 58 60 29 : 2910
66 36 52 40 58 60 29 : 2880
36 52 7 40 58 60 29 : 2890
