=== DANH SÁCH LUẬT KẾT HỢP (MinConf = 0.6) ===
29 -> 5 : sup = 2964.00, conf = 0.93, lift = 0.00
5 -> 60 : sup = 2924.00, conf = 0.98, lift = 0.00
58 -> 7 : sup = 3075.00, conf = 0.96, lift = 0.00
7 -> 58 : sup = 3075.00, conf = 1.00, lift = 0.00
60 -> 7 : sup = 3031.00, conf = 0.96, lift = 0.00
7 -> 60 : sup = 3031.00, conf = 0.99, lift = 0.00
5 29 -> 34 : sup = 2885.00, conf = 0.97, lift = 0.00
29 34 -> 5 : sup = 2885.00, conf = 0.95, lift = 0.00
5 34 -> 29 : sup = 2885.00, conf = 1.00, lift = 0.00
29 -> 5 34 : sup = 2885.00, conf = 0.91, lift = 0.00
5 -> 29 34 : sup = 2885.00, conf = 0.97, lift = 0.00
34 -> 5 29 : sup = 2885.00, conf = 0.95, lift = 0.00
62 -> 7 : sup = 2940.00, conf = 0.96, lift = 0.00
7 -> 62 : sup = 2940.00, conf = 0.96, lift = 0.00
29 -> 40 : sup = 3155.00, conf = 0.99, lift = 0.00
40 -> 29 : sup = 3155.00, conf = 1.00, lift = 0.00
36 -> 34 : sup = 2943.00, conf = 0.95, lift = 0.00
34 -> 36 : sup = 2943.00, conf = 0.97, lift = 0.00
7 29 -> 34 : sup = 2928.00, conf = 0.95, lift = 0.00
29 34 -> 7 : sup = 2928.00, conf = 0.96, lift = 0.00
7 34 -> 29 : sup = 2928.00, conf = 1.00, lift = 0.00
29 -> 7 34 : sup = 2928.00, conf = 0.92, lift = 0.00
7 -> 29 34 : sup = 2928.00, conf = 0.95, lift = 0.00
34 -> 7 29 : sup = 2928.00, conf = 0.96, lift = 0.00
7 29 -> 36 : sup = 2972.00, conf = 0.97, lift = 0.00
29 36 -> 7 : sup = 2972.00, conf = 0.96, lift = 0.00
7 36 -> 29 : sup = 2972.00, conf = 1.00, lift = 0.00
29 -> 7 36 : sup = 2972.00, conf = 0.93, lift = 0.00
7 -> 29 36 : sup = 2972.00, conf = 0.97, lift = 0.00
36 -> 7 29 : sup = 2972.00, conf = 0.96, lift = 0.00
7 -> 66 : sup = 2906.00, conf = 0.94, lift = 0.00
66 -> 7 : sup = 2906.00, conf = 0.96, lift = 0.00
40 -> 34 : sup = 3017.00, conf = 0.95, lift = 0.00
34 -> 40 : sup = 3017.00, conf = 0.99, lift = 0.00
29 40 -> 5 : sup = 2943.00, conf = 0.93, lift = 0.00
5 29 -> 40 : sup = 2943.00, conf = 0.99, lift = 0.00
5 40 -> 29 : sup = 2943.00, conf = 1.00, lift = 0.00
29 -> 5 40 : sup = 2943.00, conf = 0.93, lift = 0.00
40 -> 5 29 : sup = 2943.00, conf = 0.93, lift = 0.00
5 -> 29 40 : sup = 2943.00, conf = 0.99, lift = 0.00
40 -> 36 : sup = 3073.00, conf = 0.97, lift = 0.00
36 -> 40 : sup = 3073.00, conf = 0.99, lift = 0.00
29 40 -> 7 : sup = 3043.00, conf = 0.96, lift = 0.00
7 29 -> 40 : sup = 3043.00, conf = 0.99, lift = 0.00
7 40 -> 29 : sup = 3043.00, conf = 1.00, lift = 0.00
29 -> 7 40 : sup = 3043.00, conf = 0.96, lift = 0.00
40 -> 7 29 : sup = 3043.00, conf = 0.96, lift = 0.00
7 -> 29 40 : sup = 3043.00, conf = 0.99, lift = 0.00
29 -> 48 : sup = 2998.00, conf = 0.94, lift = 0.00
48 -> 29 : sup = 2998.00, conf = 1.00, lift = 0.00
29 -> 52 : sup = 3170.00, conf = 1.00, lift = 0.00
52 -> 29 : sup = 3170.00, conf = 1.00, lift = 0.00
7 40 -> 34 : sup = 2907.00, conf = 0.95, lift = 0.00
34 40 -> 7 : sup = 2907.00, conf = 0.96, lift = 0.00
7 34 -> 40 : sup = 2907.00, conf = 0.99, lift = 0.00
40 -> 7 34 : sup = 2907.00, conf = 0.92, lift = 0.00
7 -> 34 40 : sup = 2907.00, conf = 0.95, lift = 0.00
34 -> 7 40 : sup = 2907.00, conf = 0.96, lift = 0.00
7 40 -> 36 : sup = 2953.00, conf = 0.97, lift = 0.00
36 40 -> 7 : sup = 2953.00, conf = 0.96, lift = 0.00
7 36 -> 40 : sup = 2953.00, conf = 0.99, lift = 0.00
40 -> 7 36 : sup = 2953.00, conf = 0.93, lift = 0.00
7 -> 36 40 : sup = 2953.00, conf = 0.96, lift = 0.00
36 -> 7 40 : sup = 2953.00, conf = 0.95, lift = 0.00
36 -> 48 : sup = 2987.00, conf = 0.96, lift = 0.00
48 -> 36 : sup = 2987.00, conf = 0.99, lift = 0.00
7 29 -> 48 : sup = 2886.00, conf = 0.94, lift = 0.00
29 48 -> 7 : sup = 2886.00, conf = 0.96, lift = 0.00
7 48 -> 29 : sup = 2886.00, conf = 1.00, lift = 0.00
29 -> 7 48 : sup = 2886.00, conf = 0.91, lift = 0.00
7 -> 29 48 : sup = 2886.00, conf = 0.94, lift = 0.00
48 -> 7 29 : sup = 2886.00, conf = 0.96, lift = 0.00
29 -> 56 : sup = 3006.00, conf = 0.94, lift = 0.00
56 -> 29 : sup = 3006.00, conf = 1.00, lift = 0.00
52 -> 34 : sup = 3031.00, conf = 0.95, lift = 0.00
34 -> 52 : sup = 3031.00, conf = 1.00, lift = 0.00
5 29 -> 52 : sup = 2953.00, conf = 1.00, lift = 0.00
29 52 -> 5 : sup = 2953.00, conf = 0.93, lift = 0.00
5 52 -> 29 : sup = 2953.00, conf = 1.00, lift = 0.00
29 -> 5 52 : sup = 2953.00, conf = 0.93, lift = 0.00
5 -> 29 52 : sup = 2953.00, conf = 0.99, lift = 0.00
52 -> 5 29 : sup = 2953.00, conf = 0.93, lift = 0.00
29 -> 58 : sup = 3180.00, conf = 1.00, lift = 0.00
58 -> 29 : sup = 3180.00, conf = 1.00, lift = 0.00
52 -> 36 : sup = 3088.00, conf = 0.97, lift = 0.00
36 -> 52 : sup = 3088.00, conf = 1.00, lift = 0.00
40 -> 48 : sup = 2987.00, conf = 0.94, lift = 0.00
48 -> 40 : sup = 2987.00, conf = 0.99, lift = 0.00
7 29 -> 52 : sup = 3058.00, conf = 1.00, lift = 0.00
29 52 -> 7 : sup = 3058.00, conf = 0.96, lift = 0.00
7 52 -> 29 : sup = 3058.00, conf = 1.00, lift = 0.00
29 -> 7 52 : sup = 3058.00, conf = 0.96, lift = 0.00
7 -> 29 52 : sup = 3058.00, conf = 0.99, lift = 0.00
52 -> 7 29 : sup = 3058.00, conf = 0.96, lift = 0.00
29 -> 60 : sup = 3136.00, conf = 0.99, lift = 0.00
60 -> 29 : sup = 3136.00, conf = 1.00, lift = 0.00
56 -> 34 : sup = 2884.00, conf = 0.95, lift = 0.00
34 -> 56 : sup = 2884.00, conf = 0.95, lift = 0.00
62 -> 29 : sup = 3045.00, conf = 1.00, lift = 0.00
29 -> 62 : sup = 3045.00, conf = 0.96, lift = 0.00
5 52 -> 34 : sup = 2880.00, conf = 0.97, lift = 0.00
5 34 -> 52 : sup = 2880.00, conf = 1.00, lift = 0.00
34 52 -> 5 : sup = 2880.00, conf = 0.95, lift = 0.00
5 -> 34 52 : sup = 2880.00, conf = 0.97, lift = 0.00
52 -> 5 34 : sup = 2880.00, conf = 0.90, lift = 0.00
34 -> 5 52 : sup = 2880.00, conf = 0.95, lift = 0.00
58 -> 34 : sup = 3039.00, conf = 0.95, lift = 0.00
34 -> 58 : sup = 3039.00, conf = 1.00, lift = 0.00
56 -> 36 : sup = 2924.00, conf = 0.97, lift = 0.00
36 -> 56 : sup = 2924.00, conf = 0.94, lift = 0.00
40 -> 52 : sup = 3159.00, conf = 1.00, lift = 0.00
52 -> 40 : sup = 3159.00, conf = 0.99, lift = 0.00
29 58 -> 5 : sup = 2963.00, conf = 0.93, lift = 0.00
5 29 -> 58 : sup = 2963.00, conf = 1.00, lift = 0.00
5 58 -> 29 : sup = 2963.00, conf = 1.00, lift = 0.00
29 -> 5 58 : sup = 2963.00, conf = 0.93, lift = 0.00
58 -> 5 29 : sup = 2963.00, conf = 0.93, lift = 0.00
5 -> 29 58 : sup = 2963.00, conf = 1.00, lift = 0.00
29 56 -> 7 : sup = 2912.00, conf = 0.97, lift = 0.00
7 29 -> 56 : sup = 2912.00, conf = 0.95, lift = 0.00
7 56 -> 29 : sup = 2912.00, conf = 1.00, lift = 0.00
29 -> 7 56 : sup = 2912.00, conf = 0.92, lift = 0.00
56 -> 7 29 : sup = 2912.00, conf = 0.96, lift = 0.00
7 -> 29 56 : sup = 2912.00, conf = 0.95, lift = 0.00
7 52 -> 34 : sup = 2921.00, conf = 0.95, lift = 0.00
7 34 -> 52 : sup = 2921.00, conf = 1.00, lift = 0.00
34 52 -> 7 : sup = 2921.00, conf = 0.96, lift = 0.00
7 -> 34 52 : sup = 2921.00, conf = 0.95, lift = 0.00
52 -> 7 34 : sup = 2921.00, conf = 0.92, lift = 0.00
34 -> 7 52 : sup = 2921.00, conf = 0.96, lift = 0.00
60 -> 34 : sup = 2995.00, conf = 0.95, lift = 0.00
34 -> 60 : sup = 2995.00, conf = 0.99, lift = 0.00
58 -> 36 : sup = 3098.00, conf = 0.97, lift = 0.00
36 -> 58 : sup = 3098.00, conf = 1.00, lift = 0.00
29 60 -> 5 : sup = 2919.00, conf = 0.93, lift = 0.00
5 29 -> 60 : sup = 2919.00, conf = 0.98, lift = 0.00
5 60 -> 29 : sup = 2919.00, conf = 1.00, lift = 0.00
29 -> 5 60 : sup = 2919.00, conf = 0.92, lift = 0.00
60 -> 5 29 : sup = 2919.00, conf = 0.93, lift = 0.00
5 -> 29 60 : sup = 2919.00, conf = 0.98, lift = 0.00
29 58 -> 7 : sup = 3068.00, conf = 0.96, lift = 0.00
7 29 -> 58 : sup = 3068.00, conf = 1.00, lift = 0.00
7 58 -> 29 : sup = 3068.00, conf = 1.00, lift = 0.00
29 -> 7 58 : sup = 3068.00, conf = 0.96, lift = 0.00
58 -> 7 29 : sup = 3068.00, conf = 0.96, lift = 0.00
7 -> 29 58 : sup = 3068.00, conf = 1.00, lift = 0.00
29 -> 66 : sup = 3013.00, conf = 0.95, lift = 0.00
66 -> 29 : sup = 3013.00, conf = 1.00, lift = 0.00
7 52 -> 36 : sup = 2968.00, conf = 0.97, lift = 0.00
7 36 -> 52 : sup = 2968.00, conf = 1.00, lift = 0.00
36 52 -> 7 : sup = 2968.00, conf = 0.96, lift = 0.00
7 -> 36 52 : sup = 2968.00, conf = 0.96, lift = 0.00
52 -> 7 36 : sup = 2968.00, conf = 0.93, lift = 0.00
36 -> 7 52 : sup = 2968.00, conf = 0.96, lift = 0.00
62 -> 34 : sup = 2913.00, conf = 0.95, lift = 0.00
34 -> 62 : sup = 2913.00, conf = 0.96, lift = 0.00
60 -> 36 : sup = 3052.00, conf = 0.97, lift = 0.00
36 -> 60 : sup = 3052.00, conf = 0.98, lift = 0.00
56 -> 40 : sup = 2996.00, conf = 0.99, lift = 0.00
40 -> 56 : sup = 2996.00, conf = 0.95, lift = 0.00
29 60 -> 7 : sup = 3024.00, conf = 0.96, lift = 0.00
7 29 -> 60 : sup = 3024.00, conf = 0.99, lift = 0.00
7 60 -> 29 : sup = 3024.00, conf = 1.00, lift = 0.00
29 -> 7 60 : sup = 3024.00, conf = 0.95, lift = 0.00
60 -> 7 29 : sup = 3024.00, conf = 0.96, lift = 0.00
7 -> 29 60 : sup = 3024.00, conf = 0.98, lift = 0.00
5 58 -> 34 : sup = 2888.00, conf = 0.97, lift = 0.00
34 58 -> 5 : sup = 2888.00, conf = 0.95, lift = 0.00
5 34 -> 58 : sup = 2888.00, conf = 1.00, lift = 0.00
58 -> 5 34 : sup = 2888.00, conf = 0.90, lift = 0.00
5 -> 34 58 : sup = 2888.00, conf = 0.97, lift = 0.00
34 -> 5 58 : sup = 2888.00, conf = 0.95, lift = 0.00
5 40 -> 52 : sup = 2939.00, conf = 1.00, lift = 0.00
40 52 -> 5 : sup = 2939.00, conf = 0.93, lift = 0.00
5 52 -> 40 : sup = 2939.00, conf = 0.99, lift = 0.00
40 -> 5 52 : sup = 2939.00, conf = 0.93, lift = 0.00
5 -> 40 52 : sup = 2939.00, conf = 0.99, lift = 0.00
52 -> 5 40 : sup = 2939.00, conf = 0.92, lift = 0.00
62 -> 36 : sup = 2963.00, conf = 0.97, lift = 0.00
36 -> 62 : sup = 2963.00, conf = 0.96, lift = 0.00
58 -> 40 : sup = 3169.00, conf = 0.99, lift = 0.00
40 -> 58 : sup = 3169.00, conf = 1.00, lift = 0.00
29 62 -> 7 : sup = 2933.00, conf = 0.96, lift = 0.00
7 62 -> 29 : sup = 2933.00, conf = 1.00, lift = 0.00
7 29 -> 62 : sup = 2933.00, conf = 0.96, lift = 0.00
62 -> 7 29 : sup = 2933.00, conf = 0.96, lift = 0.00
29 -> 7 62 : sup = 2933.00, conf = 0.92, lift = 0.00
7 -> 29 62 : sup = 2933.00, conf = 0.95, lift = 0.00
7 58 -> 34 : sup = 2929.00, conf = 0.95, lift = 0.00
34 58 -> 7 : sup = 2929.00, conf = 0.96, lift = 0.00
7 34 -> 58 : sup = 2929.00, conf = 1.00, lift = 0.00
58 -> 7 34 : sup = 2929.00, conf = 0.92, lift = 0.00
7 -> 34 58 : sup = 2929.00, conf = 0.95, lift = 0.00
34 -> 7 58 : sup = 2929.00, conf = 0.96, lift = 0.00
7 40 -> 52 : sup = 3039.00, conf = 1.00, lift = 0.00
40 52 -> 7 : sup = 3039.00, conf = 0.96, lift = 0.00
7 52 -> 40 : sup = 3039.00, conf = 0.99, lift = 0.00
40 -> 7 52 : sup = 3039.00, conf = 0.96, lift = 0.00
7 -> 40 52 : sup = 3039.00, conf = 0.99, lift = 0.00
52 -> 7 40 : sup = 3039.00, conf = 0.95, lift = 0.00
29 36 -> 34 : sup = 2939.00, conf = 0.95, lift = 0.00
29 34 -> 36 : sup = 2939.00, conf = 0.97, lift = 0.00
34 36 -> 29 : sup = 2939.00, conf = 1.00, lift = 0.00
29 -> 34 36 : sup = 2939.00, conf = 0.92, lift = 0.00
36 -> 29 34 : sup = 2939.00, conf = 0.95, lift = 0.00
34 -> 29 36 : sup = 2939.00, conf = 0.97, lift = 0.00
66 -> 34 : sup = 2886.00, conf = 0.96, lift = 0.00
34 -> 66 : sup = 2886.00, conf = 0.95, lift = 0.00
60 -> 40 : sup = 3124.00, conf = 0.99, lift = 0.00
40 -> 60 : sup = 3124.00, conf = 0.99, lift = 0.00
52 -> 48 : sup = 3002.00, conf = 0.94, lift = 0.00
48 -> 52 : sup = 3002.00, conf = 1.00, lift = 0.00
7 60 -> 34 : sup = 2885.00, conf = 0.95, lift = 0.00
34 60 -> 7 : sup = 2885.00, conf = 0.96, lift = 0.00
7 34 -> 60 : sup = 2885.00, conf = 0.98, lift = 0.00
60 -> 7 34 : sup = 2885.00, conf = 0.92, lift = 0.00
7 -> 34 60 : sup = 2885.00, conf = 0.94, lift = 0.00
34 -> 7 60 : sup = 2885.00, conf = 0.95, lift = 0.00
7 58 -> 36 : sup = 2978.00, conf = 0.97, lift = 0.00
36 58 -> 7 : sup = 2978.00, conf = 0.96, lift = 0.00
7 36 -> 58 : sup = 2978.00, conf = 1.00, lift = 0.00
58 -> 7 36 : sup = 2978.00, conf = 0.93, lift = 0.00
7 -> 36 58 : sup = 2978.00, conf = 0.97, lift = 0.00
36 -> 7 58 : sup = 2978.00, conf = 0.96, lift = 0.00
36 -> 66 : sup = 2924.00, conf = 0.94, lift = 0.00
66 -> 36 : sup = 2924.00, conf = 0.97, lift = 0.00
62 -> 40 : sup = 3045.00, conf = 1.00, lift = 0.00
40 -> 62 : sup = 3045.00, conf = 0.96, lift = 0.00
7 29 -> 66 : sup = 2902.00, conf = 0.95, lift = 0.00
29 66 -> 7 : sup = 2902.00, conf = 0.96, lift = 0.00
7 66 -> 29 : sup = 2902.00, conf = 1.00, lift = 0.00
29 -> 7 66 : sup = 2902.00, conf = 0.91, lift = 0.00
7 -> 29 66 : sup = 2902.00, conf = 0.94, lift = 0.00
66 -> 7 29 : sup = 2902.00, conf = 0.96, lift = 0.00
7 60 -> 36 : sup = 2934.00, conf = 0.97, lift = 0.00
36 60 -> 7 : sup = 2934.00, conf = 0.96, lift = 0.00
7 36 -> 60 : sup = 2934.00, conf = 0.98, lift = 0.00
60 -> 7 36 : sup = 2934.00, conf = 0.93, lift = 0.00
7 -> 36 60 : sup = 2934.00, conf = 0.95, lift = 0.00
36 -> 7 60 : sup = 2934.00, conf = 0.95, lift = 0.00
40 58 -> 5 : sup = 2949.00, conf = 0.93, lift = 0.00
5 58 -> 40 : sup = 2949.00, conf = 0.99, lift = 0.00
5 40 -> 58 : sup = 2949.00, conf = 1.00, lift = 0.00
58 -> 5 40 : sup = 2949.00, conf = 0.92, lift = 0.00
40 -> 5 58 : sup = 2949.00, conf = 0.93, lift = 0.00
5 -> 40 58 : sup = 2949.00, conf = 0.99, lift = 0.00
40 56 -> 7 : sup = 2894.00, conf = 0.97, lift = 0.00
7 56 -> 40 : sup = 2894.00, conf = 0.99, lift = 0.00
7 40 -> 56 : sup = 2894.00, conf = 0.95, lift = 0.00
56 -> 7 40 : sup = 2894.00, conf = 0.96, lift = 0.00
40 -> 7 56 : sup = 2894.00, conf = 0.91, lift = 0.00
7 -> 40 56 : sup = 2894.00, conf = 0.94, lift = 0.00
29 40 -> 34 : sup = 3013.00, conf = 0.95, lift = 0.00
29 34 -> 40 : sup = 3013.00, conf = 0.99, lift = 0.00
34 40 -> 29 : sup = 3013.00, conf = 1.00, lift = 0.00
29 -> 34 40 : sup = 3013.00, conf = 0.95, lift = 0.00
40 -> 29 34 : sup = 3013.00, conf = 0.95, lift = 0.00
34 -> 29 40 : sup = 3013.00, conf = 0.99, lift = 0.00
40 60 -> 5 : sup = 2904.00, conf = 0.93, lift = 0.00
5 60 -> 40 : sup = 2904.00, conf = 0.99, lift = 0.00
5 40 -> 60 : sup = 2904.00, conf = 0.98, lift = 0.00
60 -> 5 40 : sup = 2904.00, conf = 0.92, lift = 0.00
40 -> 5 60 : sup = 2904.00, conf = 0.92, lift = 0.00
5 -> 40 60 : sup = 2904.00, conf = 0.98, lift = 0.00
40 58 -> 7 : sup = 3049.00, conf = 0.96, lift = 0.00
7 58 -> 40 : sup = 3049.00, conf = 0.99, lift = 0.00
7 40 -> 58 : sup = 3049.00, conf = 1.00, lift = 0.00
58 -> 7 40 : sup = 3049.00, conf = 0.95, lift = 0.00
40 -> 7 58 : sup = 3049.00, conf = 0.96, lift = 0.00
7 -> 40 58 : sup = 3049.00, conf = 0.99, lift = 0.00
29 40 -> 36 : sup = 3058.00, conf = 0.97, lift = 0.00
29 36 -> 40 : sup = 3058.00, conf = 0.99, lift = 0.00
36 40 -> 29 : sup = 3058.00, conf = 1.00, lift = 0.00
29 -> 36 40 : sup = 3058.00, conf = 0.96, lift = 0.00
40 -> 29 36 : sup = 3058.00, conf = 0.96, lift = 0.00
36 -> 29 40 : sup = 3058.00, conf = 0.99, lift = 0.00
40 -> 66 : sup = 2997.00, conf = 0.95, lift = 0.00
66 -> 40 : sup = 2997.00, conf = 0.99, lift = 0.00
58 -> 48 : sup = 3012.00, conf = 0.94, lift = 0.00
48 -> 58 : sup = 3012.00, conf = 1.00, lift = 0.00
40 60 -> 7 : sup = 3006.00, conf = 0.96, lift = 0.00
7 60 -> 40 : sup = 3006.00, conf = 0.99, lift = 0.00
7 40 -> 60 : sup = 3006.00, conf = 0.99, lift = 0.00
60 -> 7 40 : sup = 3006.00, conf = 0.95, lift = 0.00
40 -> 7 60 : sup = 3006.00, conf = 0.95, lift = 0.00
7 -> 40 60 : sup = 3006.00, conf = 0.98, lift = 0.00
7 52 -> 48 : sup = 2882.00, conf = 0.94, lift = 0.00
7 48 -> 52 : sup = 2882.00, conf = 1.00, lift = 0.00
48 52 -> 7 : sup = 2882.00, conf = 0.96, lift = 0.00
7 -> 48 52 : sup = 2882.00, conf = 0.94, lift = 0.00
52 -> 7 48 : sup = 2882.00, conf = 0.90, lift = 0.00
48 -> 7 52 : sup = 2882.00, conf = 0.96, lift = 0.00
60 -> 48 : sup = 2986.00, conf = 0.95, lift = 0.00
48 -> 60 : sup = 2986.00, conf = 0.99, lift = 0.00
56 -> 52 : sup = 3016.00, conf = 1.00, lift = 0.00
52 -> 56 : sup = 3016.00, conf = 0.95, lift = 0.00
40 62 -> 7 : sup = 2925.00, conf = 0.96, lift = 0.00
7 62 -> 40 : sup = 2925.00, conf = 0.99, lift = 0.00
7 40 -> 62 : sup = 2925.00, conf = 0.96, lift = 0.00
62 -> 7 40 : sup = 2925.00, conf = 0.96, lift = 0.00
40 -> 7 62 : sup = 2925.00, conf = 0.92, lift = 0.00
7 -> 40 62 : sup = 2925.00, conf = 0.95, lift = 0.00
62 -> 48 : sup = 2877.00, conf = 0.94, lift = 0.00
48 -> 62 : sup = 2877.00, conf = 0.95, lift = 0.00
58 -> 52 : sup = 3184.00, conf = 1.00, lift = 0.00
52 -> 58 : sup = 3184.00, conf = 1.00, lift = 0.00
36 40 -> 34 : sup = 2920.00, conf = 0.95, lift = 0.00
34 40 -> 36 : sup = 2920.00, conf = 0.97, lift = 0.00
34 36 -> 40 : sup = 2920.00, conf = 0.99, lift = 0.00
40 -> 34 36 : sup = 2920.00, conf = 0.92, lift = 0.00
36 -> 34 40 : sup = 2920.00, conf = 0.94, lift = 0.00
34 -> 36 40 : sup = 2920.00, conf = 0.96, lift = 0.00
7 29 40 -> 34 : sup = 2905.00, conf = 0.95, lift = 0.00
29 34 40 -> 7 : sup = 2905.00, conf = 0.96, lift = 0.00
7 29 34 -> 40 : sup = 2905.00, conf = 0.99, lift = 0.00
7 34 40 -> 29 : sup = 2905.00, conf = 1.00, lift = 0.00
29 40 -> 7 34 : sup = 2905.00, conf = 0.92, lift = 0.00
7 29 -> 34 40 : sup = 2905.00, conf = 0.95, lift = 0.00
7 40 -> 29 34 : sup = 2905.00, conf = 0.95, lift = 0.00
29 34 -> 7 40 : sup = 2905.00, conf = 0.96, lift = 0.00
34 40 -> 7 29 : sup = 2905.00, conf = 0.96, lift = 0.00
7 34 -> 29 40 : sup = 2905.00, conf = 0.99, lift = 0.00
29 -> 7 34 40 : sup = 2905.00, conf = 0.91, lift = 0.00
40 -> 7 29 34 : sup = 2905.00, conf = 0.92, lift = 0.00
7 -> 29 34 40 : sup = 2905.00, conf = 0.94, lift = 0.00
34 -> 7 29 40 : sup = 2905.00, conf = 0.96, lift = 0.00
60 -> 52 : sup = 3138.00, conf = 1.00, lift = 0.00
52 -> 60 : sup = 3138.00, conf = 0.99, lift = 0.00
7 29 40 -> 36 : sup = 2946.00, conf = 0.97, lift = 0.00
29 36 40 -> 7 : sup = 2946.00, conf = 0.96, lift = 0.00
7 29 36 -> 40 : sup = 2946.00, conf = 0.99, lift = 0.00
7 36 40 -> 29 : sup = 2946.00, conf = 1.00, lift = 0.00
29 40 -> 7 36 : sup = 2946.00, conf = 0.93, lift = 0.00
7 29 -> 36 40 : sup = 2946.00, conf = 0.96, lift = 0.00
7 40 -> 29 36 : sup = 2946.00, conf = 0.97, lift = 0.00
29 36 -> 7 40 : sup = 2946.00, conf = 0.96, lift = 0.00
36 40 -> 7 29 : sup = 2946.00, conf = 0.96, lift = 0.00
7 36 -> 29 40 : sup = 2946.00, conf = 0.99, lift = 0.00
29 -> 7 36 40 : sup = 2946.00, conf = 0.93, lift = 0.00
40 -> 7 29 36 : sup = 2946.00, conf = 0.93, lift = 0.00
7 -> 29 36 40 : sup = 2946.00, conf = 0.96, lift = 0.00
36 -> 7 29 40 : sup = 2946.00, conf = 0.95, lift = 0.00
7 40 -> 66 : sup = 2882.00, conf = 0.94, lift = 0.00
40 66 -> 7 : sup = 2882.00, conf = 0.96, lift = 0.00
7 66 -> 40 : sup = 2882.00, conf = 0.99, lift = 0.00
40 -> 7 66 : sup = 2882.00, conf = 0.91, lift = 0.00
7 -> 40 66 : sup = 2882.00, conf = 0.94, lift = 0.00
66 -> 7 40 : sup = 2882.00, conf = 0.95, lift = 0.00
7 58 -> 48 : sup = 2892.00, conf = 0.94, lift = 0.00
48 58 -> 7 : sup = 2892.00, conf = 0.96, lift = 0.00
7 48 -> 58 : sup = 2892.00, conf = 1.00, lift = 0.00
58 -> 7 48 : sup = 2892.00, conf = 0.91, lift = 0.00
7 -> 48 58 : sup = 2892.00, conf = 0.94, lift = 0.00
48 -> 7 58 : sup = 2892.00, conf = 0.96, lift = 0.00
29 36 -> 48 : sup = 2972.00, conf = 0.96, lift = 0.00
29 48 -> 36 : sup = 2972.00, conf = 0.99, lift = 0.00
36 48 -> 29 : sup = 2972.00, conf = 0.99, lift = 0.00
29 -> 36 48 : sup = 2972.00, conf = 0.93, lift = 0.00
36 -> 29 48 : sup = 2972.00, conf = 0.96, lift = 0.00
48 -> 29 36 : sup = 2972.00, conf = 0.99, lift = 0.00
62 -> 52 : sup = 3049.00, conf = 1.00, lift = 0.00
52 -> 62 : sup = 3049.00, conf = 0.96, lift = 0.00
58 -> 56 : sup = 3020.00, conf = 0.95, lift = 0.00
56 -> 58 : sup = 3020.00, conf = 1.00, lift = 0.00
5 58 -> 52 : sup = 2959.00, conf = 1.00, lift = 0.00
52 58 -> 5 : sup = 2959.00, conf = 0.93, lift = 0.00
5 52 -> 58 : sup = 2959.00, conf = 1.00, lift = 0.00
58 -> 5 52 : sup = 2959.00, conf = 0.93, lift = 0.00
5 -> 52 58 : sup = 2959.00, conf = 1.00, lift = 0.00
52 -> 5 58 : sup = 2959.00, conf = 0.93, lift = 0.00
7 56 -> 52 : sup = 2914.00, conf = 1.00, lift = 0.00
52 56 -> 7 : sup = 2914.00, conf = 0.97, lift = 0.00
7 52 -> 56 : sup = 2914.00, conf = 0.95, lift = 0.00
56 -> 7 52 : sup = 2914.00, conf = 0.96, lift = 0.00
