Antecedent,Consequent,Support,Confidence,Lift,Conviction
"29 60","5",2919.0000,0.9308,0.0003,-42921.2903
"5 29","60",2919.0000,0.9848,0.0003,-207348.2667
"5 60","29",2919.0000,0.9983,0.0003,-1859664.0000
"29","5 60",2919.0000,0.9176,0.0003,-35488.7901
"60","5 29",2919.0000,0.9270,0.0003,-40567.3348
"5","29 60",2919.0000,0.9825,0.0003,-179117.0192
"29 58","7",3068.0000,0.9648,0.0003,-87308.0357
"7 29","58",3068.0000,0.9997,0.0003,-9802386.0000
"7 58","29",3068.0000,0.9977,0.0003,-1396928.5714
"29","7 58",3068.0000,0.9645,0.0003,-86534.4602
"58","7 29",3068.0000,0.9603,0.0003,-77183.1496
"7","29 58",3068.0000,0.9974,0.0003,-1222325.5000
"29","66",3013.0000,0.9472,0.0003,-57182.2619
"66","29",3013.0000,0.9974,0.0003,-1200847.5000
"7 52","36",2968.0000,0.9684,0.0003,-97890.4124
"7 36","52",2968.0000,0.9963,0.0003,-862285.0909
"36 52","7",2968.0000,0.9611,0.0003,-79130.0000
"7","36 52",2968.0000,0.9649,0.0003,-87922.3333
"52","7 36",2968.0000,0.9319,0.0003,-43709.3548
"36","7 52",2968.0000,0.9577,0.0003,-72483.4809
"62","34",2913.0000,0.9520,0.0003,-63260.8163
"34","62",2913.0000,0.9582,0.0003,-73223.3071
"60","36",3052.0000,0.9692,0.0003,-100573.2165
"36","60",3052.0000,0.9848,0.0003,-207567.0638
"56","40",2996.0000,0.9917,0.0003,-382941.9600
"40","56",2996.0000,0.9451,0.0003,-55019.5402
"29 60","7",3024.0000,0.9643,0.0003,-86100.0000
"7 29","60",3024.0000,0.9853,0.0003,-214693.6000
"7 60","29",3024.0000,0.9977,0.0003,-1376940.0000
"29","7 60",3024.0000,0.9506,0.0003,-61391.2739
"60","7 29",3024.0000,0.9603,0.0003,-77289.0560
"7","29 60",3024.0000,0.9831,0.0003,-185447.3077
"5 58","34",2888.0000,0.9724,0.0003,-110071.0976
"34 58","5",2888.0000,0.9503,0.0003,-59773.7086
"5 34","58",2888.0000,0.9997,0.0003,-9227466.0000
"58","5 34",2888.0000,0.9039,0.0003,-30055.8958
"5","34 58",2888.0000,0.9721,0.0003,-108745.7590
"34","5 58",2888.0000,0.9500,0.0003,-59380.0000
"5 40","52",2939.0000,0.9963,0.0003,-853890.9091
"40 52","5",2939.0000,0.9304,0.0003,-42646.5000
"5 52","40",2939.0000,0.9929,0.0003,-446678.0952
"40","5 52",2939.0000,0.9271,0.0003,-40606.1905
"5","40 52",2939.0000,0.9892,0.0003,-293200.5625
"52","5 40",2939.0000,0.9228,0.0003,-38181.1585
"62","36",2963.0000,0.9683,0.0003,-97730.7216
"36","62",2963.0000,0.9561,0.0003,-69704.7132
"58","40",3169.0000,0.9919,0.0003,-389421.3462
"40","58",3169.0000,0.9997,0.0003,-10124980.0000
"29 62","7",2933.0000,0.9632,0.0003,-83601.5625
"7 62","29",2933.0000,0.9976,0.0003,-1335600.0000
"7 29","62",2933.0000,0.9557,0.0003,-69029.9338
"62","7 29",2933.0000,0.9585,0.0003,-73921.8898
"29","7 62",2933.0000,0.9220,0.0003,-37697.4153
"7","29 62",2933.0000,0.9535,0.0003,-65477.9301
"7 58","34",2929.0000,0.9525,0.0003,-64006.3356
"34 58","7",2929.0000,0.9638,0.0003,-84953.8636
"7 34","58",2929.0000,0.9997,0.0003,-9358420.0000
"58","7 34",2929.0000,0.9167,0.0003,-35181.0338
"7","34 58",2929.0000,0.9522,0.0003,-63570.6667
"34","7 58",2929.0000,0.9635,0.0003,-84188.8288
"7 40","52",3039.0000,0.9964,0.0003,-882836.3636
"40 52","7",3039.0000,0.9620,0.0003,-80949.3750
"7 52","40",3039.0000,0.9915,0.0003,-373576.3462
"40","7 52",3039.0000,0.9587,0.0003,-74144.1221
"7","40 52",3039.0000,0.9880,0.0003,-262540.7568
"52","7 40",3039.0000,0.9542,0.0003,-66514.1438
"29 36","34",2939.0000,0.9530,0.0003,-64636.3862
"29 34","36",2939.0000,0.9681,0.0003,-96964.2062
"34 36","29",2939.0000,0.9986,0.0003,-2339685.0000
"29","34 36",2939.0000,0.9239,0.0003,-38671.4959
"36","29 34",2939.0000,0.9484,0.0003,-58784.1563
"34","29 36",2939.0000,0.9668,0.0003,-92795.2475
"66","34",2886.0000,0.9553,0.0003,-68006.0667
"34","66",2886.0000,0.9493,0.0003,-59615.5844
"60","40",3124.0000,0.9921,0.0003,-399167.2400
"40","60",3124.0000,0.9855,0.0003,-216938.2609
"52","48",3002.0000,0.9425,0.0003,-52421.9672
"48","52",3002.0000,0.9963,0.0003,-872126.5455
"7 60","34",2885.0000,0.9518,0.0003,-63090.4726
"34 60","7",2885.0000,0.9633,0.0003,-83723.8636
"7 34","60",2885.0000,0.9846,0.0003,-204969.7778
"60","7 34",2885.0000,0.9162,0.0003,-34937.2008
"7","34 60",2885.0000,0.9379,0.0003,-48217.5079
"34","7 60",2885.0000,0.9490,0.0003,-59427.0968
"7 58","36",2978.0000,0.9685,0.0003,-98209.7938
"36 58","7",2978.0000,0.9613,0.0003,-79386.2500
"7 36","58",2978.0000,0.9997,0.0003,-9514926.0000
"58","7 36",2978.0000,0.9321,0.0003,-43846.5899
"7","36 58",2978.0000,0.9681,0.0003,-97207.8776
"36","7 58",2978.0000,0.9610,0.0003,-78729.9669
"36","66",2924.0000,0.9435,0.0003,-53479.8857
"66","36",2924.0000,0.9679,0.0003,-96485.1340
"62","40",3045.0000,0.9951,0.0003,-646476.0000
"40","62",3045.0000,0.9606,0.0003,-77576.2400
"7 29","66",2902.0000,0.9456,0.0003,-55499.2814
"29 66","7",2902.0000,0.9632,0.0003,-83468.2432
"7 66","29",2902.0000,0.9986,0.0003,-2310270.0000
"29","7 66",2902.0000,0.9123,0.0003,-33121.1649
"7","29 66",2902.0000,0.9434,0.0003,-53246.6207
"66","7 29",2902.0000,0.9606,0.0003,-77885.9496
"7 60","36",2934.0000,0.9680,0.0003,-96804.5155
"36 60","7",2934.0000,0.9613,0.0003,-79533.0508
"7 36","60",2934.0000,0.9849,0.0003,-208397.6000
"60","7 36",2934.0000,0.9317,0.0003,-43617.3116
"7","36 60",2934.0000,0.9538,0.0003,-66090.6761
"36","7 60",2934.0000,0.9468,0.0003,-56908.9091
"40 58","5",2949.0000,0.9306,0.0003,-42781.5000
"5 58","40",2949.0000,0.9929,0.0003,-448187.1429
"5 40","58",2949.0000,0.9997,0.0003,-9422300.0000
"58","5 40",2949.0000,0.9230,0.0003,-38301.0366
"40","5 58",2949.0000,0.9303,0.0003,-42587.0136
"5","40 58",2949.0000,0.9926,0.0003,-427824.0000
"40 56","7",2894.0000,0.9660,0.0003,-90320.5882
"7 56","40",2894.0000,0.9914,0.0003,-370012.4400
"7 40","56",2894.0000,0.9489,0.0003,-59044.8718
"56","7 40",2894.0000,0.9580,0.0003,-72527.7874
"40","7 56",2894.0000,0.9129,0.0003,-33514.7101
"7","40 56",2894.0000,0.9408,0.0003,-50618.7912
"29 40","34",3013.0000,0.9550,0.0003,-67521.4437
"29 34","40",3013.0000,0.9924,0.0003,-418308.0000
"34 40","29",3013.0000,0.9987,0.0003,-2398515.0000
"29","34 40",3013.0000,0.9472,0.0003,-57106.5238
"40","29 34",3013.0000,0.9505,0.0003,-61279.9363
"34","29 40",3013.0000,0.9911,0.0003,-355117.0370
"40 60","5",2904.0000,0.9296,0.0003,-42174.0000
"5 60","40",2904.0000,0.9932,0.0003,-463307.8000
"5 40","60",2904.0000,0.9844,0.0003,-201882.6087
"60","5 40",2904.0000,0.9222,0.0003,-37903.6776
"40","5 60",2904.0000,0.9161,0.0003,-34834.2481
"5","40 60",2904.0000,0.9774,0.0003,-138484.0746
"40 58","7",3049.0000,0.9621,0.0003,-81205.6250
"7 58","40",3049.0000,0.9915,0.0003,-374795.1923
"7 40","58",3049.0000,0.9997,0.0003,-9741700.0000
"58","7 40",3049.0000,0.9543,0.0003,-66722.9795
"40","7 58",3049.0000,0.9618,0.0003,-80533.7190
"7","40 58",3049.0000,0.9912,0.0003,-360917.3333
"29 40","36",3058.0000,0.9693,0.0003,-100764.8454
"29 36","40",3058.0000,0.9916,0.0003,-375892.1538
"36 40","29",3058.0000,0.9951,0.0003,-651476.0000
"29","36 40",3058.0000,0.9613,0.0003,-79447.4146
"40","29 36",3058.0000,0.9647,0.0003,-87259.9107
"36","29 40",3058.0000,0.9868,0.0003,-238396.2439
"40","66",2997.0000,0.9454,0.0003,-55337.5723
"66","40",2997.0000,0.9921,0.0003,-398897.8750
"58","48",3012.0000,0.9427,0.0003,-52586.5574
"48","58",3012.0000,0.9997,0.0003,-9623522.0000
"40 60","7",3006.0000,0.9622,0.0003,-81409.3220
"7 60","40",3006.0000,0.9918,0.0003,-384209.5600
"7 40","60",3006.0000,0.9856,0.0003,-218213.6364
"60","7 40",3006.0000,0.9546,0.0003,-67141.9650
"40","7 60",3006.0000,0.9483,0.0003,-58567.6829
"7","40 60",3006.0000,0.9772,0.0003,-137233.5429
"7 52","48",2882.0000,0.9403,0.0003,-50446.8852
"7 48","52",2882.0000,0.9962,0.0003,-837392.0000
"48 52","7",2882.0000,0.9600,0.0003,-76926.2500
"7","48 52",2882.0000,0.9369,0.0003,-47582.8660
"52","7 48",2882.0000,0.9049,0.0003,-30399.4059
"48","7 52",2882.0000,0.9565,0.0003,-70472.0000
"60","48",2986.0000,0.9482,0.0003,-58188.8834
"48","60",2986.0000,0.9910,0.0003,-351293.4815
"56","52",3016.0000,0.9983,0.0003,-1923772.8000
"52","56",3016.0000,0.9469,0.0003,-56915.3846
"40 62","7",2925.0000,0.9606,0.0003,-78028.1250
"7 62","40",2925.0000,0.9949,0.0003,-621124.0000
"7 40","62",2925.0000,0.9590,0.0003,-74639.6000
"62","7 40",2925.0000,0.9559,0.0003,-69110.6667
"40","7 62",2925.0000,0.9227,0.0003,-38027.0612
"7","40 62",2925.0000,0.9509,0.0003,-62008.9007
"62","48",2877.0000,0.9402,0.0003,-50364.5902
"48","62",2877.0000,0.9549,0.0003,-67770.3456
"58","52",3184.0000,0.9966,0.0003,-924807.2727
"52","58",3184.0000,0.9997,0.0003,-10172890.0000
"36 40","34",2920.0000,0.9502,0.0003,-61038.2157
"34 40","36",2920.0000,0.9678,0.0003,-96357.3814
"34 36","40",2920.0000,0.9922,0.0003,-405494.2174
"40","34 36",2920.0000,0.9211,0.0003,-37304.5600
"36","34 40",2920.0000,0.9422,0.0003,-52215.5531
"34","36 40",2920.0000,0.9605,0.0003,-77824.0000
"7 29 40","34",2905.0000,0.9547,0.0003,-67012.1522
"29 34 40","7",2905.0000,0.9642,0.0003,-85786.8056
"7 29 34","40",2905.0000,0.9921,0.0003,-403427.4783
"7 34 40","29",2905.0000,0.9993,0.0003,-4622130.0000
"29 40","7 34",2905.0000,0.9208,0.0003,-36963.9800
"7 29","34 40",2905.0000,0.9466,0.0003,-56439.6585
"7 40","29 34",2905.0000,0.9525,0.0003,-63839.6552
"29 34","7 40",2905.0000,0.9569,0.0003,-70662.3206
"34 40","7 29",2905.0000,0.9629,0.0003,-82644.2500
"7 34","29 40",2905.0000,0.9915,0.0003,-369648.8000
"29","7 34 40",2905.0000,0.9132,0.0003,-33492.7029
"40","7 29 34",2905.0000,0.9164,0.0003,-35013.5472
"7","29 34 40",2905.0000,0.9444,0.0003,-54180.7719
"34","7 29 40",2905.0000,0.9556,0.0003,-68501.3333
"60","52",3138.0000,0.9965,0.0003,-911492.3636
"52","60",3138.0000,0.9852,0.0003,-213327.2340
"7 29 40","36",2946.0000,0.9681,0.0003,-97187.7732
"29 36 40","7",2946.0000,0.9634,0.0003,-83958.4821
"7 29 36","40",2946.0000,0.9913,0.0003,-362241.0769
"7 36 40","29",2946.0000,0.9976,0.0003,-1341505.7143
"29 40","7 36",2946.0000,0.9338,0.0003,-44954.9761
"7 29","36 40",2946.0000,0.9599,0.0003,-76650.1463
"7 40","29 36",2946.0000,0.9659,0.0003,-90414.9038
"29 36","7 40",2946.0000,0.9553,0.0003,-68138.5217
"36 40","7 29",2946.0000,0.9587,0.0003,-74235.9370
"7 36","29 40",2946.0000,0.9889,0.0003,-284720.1818
"29","7 36 40",2946.0000,0.9261,0.0003,-39958.7745
"40","7 29 36",2946.0000,0.9293,0.0003,-42044.9554
"7","29 36 40",2946.0000,0.9577,0.0003,-72333.3231
"36","7 29 40",2946.0000,0.9506,0.0003,-61615.4118
"7 40","66",2882.0000,0.9449,0.0003,-54827.3810
"40 66","7",2882.0000,0.9616,0.0003,-80137.1739
"7 66","40",2882.0000,0.9917,0.0003,-383713.0833
"40","7 66",2882.0000,0.9091,0.0003,-31975.1736
"7","40 66",2882.0000,0.9369,0.0003,-47503.5876
"66","7 40",2882.0000,0.9540,0.0003,-66266.3957
"7 58","48",2892.0000,0.9405,0.0003,-50611.4754
"48 58","7",2892.0000,0.9602,0.0003,-77182.5000
"7 48","58",2892.0000,0.9997,0.0003,-9240242.0000
"58","7 48",2892.0000,0.9052,0.0003,-30494.8515
"7","48 58",2892.0000,0.9402,0.0003,-50336.0652
"48","7 58",2892.0000,0.9598,0.0003,-76545.1405
"29 36","48",2972.0000,0.9637,0.0003,-82937.5714
"29 48","36",2972.0000,0.9913,0.0003,-357223.2308
"36 48","29",2972.0000,0.9950,0.0003,-633244.0000
"29","36 48",2972.0000,0.9343,0.0003,-45447.2057
"36","29 48",2972.0000,0.9590,0.0003,-73131.5197
"48","29 36",2972.0000,0.9864,0.0003,-226562.9024
"62","52",3049.0000,0.9964,0.0003,-885730.9091
"52","62",3049.0000,0.9573,0.0003,-71639.0809
"58","56",3020.0000,0.9452,0.0003,-55136.5714
"56","58",3020.0000,0.9997,0.0003,-9649074.0000
"5 58","52",2959.0000,0.9963,0.0003,-859680.0000
"52 58","5",2959.0000,0.9293,0.0003,-42028.8000
"5 52","58",2959.0000,0.9997,0.0003,-9454240.0000
"58","5 52",2959.0000,0.9261,0.0003,-40059.3432
"5","52 58",2959.0000,0.9960,0.0003,-788057.7500
"52","5 58",2959.0000,0.9290,0.0003,-41841.8805
"7 56","52",2914.0000,0.9983,0.0003,-1858819.2000
"52 56","7",2914.0000,0.9662,0.0003,-90923.5294
"7 52","56",2914.0000,0.9507,0.0003,-61300.0000
"56","7 52",2914.0000,0.9646,0.0003,-86507.8879
"7","52 56",2914.0000,0.9473,0.0003,-57247.7778
"52","7 56",2914.0000,0.9149,0.0003,-34294.5756
"29 52","34",3027.0000,0.9549,0.0003,-67368.0420
"29 34","52",3027.0000,0.9970,0.0003,-1074069.3333
"34 52","29",3027.0000,0.9987,0.0003,-2409645.0000
"29","34 52",3027.0000,0.9516,0.0003,-62587.2078
"52","29 34",3027.0000,0.9504,0.0003,-61180.2215
"34","29 52",3027.0000,0.9957,0.0003,-741058.4615
"60","56",2974.0000,0.9444,0.0003,-54342.7429
"56","60",2974.0000,0.9844,0.0003,-202342.7234
"5 60","52",2913.0000,0.9962,0.0003,-846365.0909
"52 60","5",2913.0000,0.9283,0.0003,-41421.6000
"5 52","60",2913.0000,0.9841,0.0003,-198257.0213
"60","5 52",2913.0000,0.9251,0.0003,-39482.5890
"5","52 60",2913.0000,0.9805,0.0003,-160690.1207
"52","5 60",2913.0000,0.9146,0.0003,-34227.0404
"7 58","52",3064.0000,0.9964,0.0003,-890072.7273
"52 58","7",3064.0000,0.9623,0.0003,-81590.0000
"7 52","58",3064.0000,0.9997,0.0003,-9789610.0000
"58","7 52",3064.0000,0.9590,0.0003,-74728.8550
"7","52 58",3064.0000,0.9961,0.0003,-815909.0000
"52","7 58",3064.0000,0.9620,0.0003,-80914.7934
"29 52","36",3073.0000,0.9694,0.0003,-101243.9175
"29 36","52",3073.0000,0.9964,0.0003,-892677.8182
"36 52","29",3073.0000,0.9951,0.0003,-654656.0000
"29","36 52",3073.0000,0.9660,0.0003,-90923.5833
"52","29 36",3073.0000,0.9648,0.0003,-87672.8125
"36","29 52",3073.0000,0.9916,0.0003,-377720.4231
"29 40","48",2972.0000,0.9420,0.0003,-51928.1967
"29 48","40",2972.0000,0.9913,0.0003,-365410.0769
"40 48","29",2972.0000,0.9950,0.0003,-633244.0000
"29","40 48",2972.0000,0.9343,0.0003,-45447.2057
"40","29 48",2972.0000,0.9375,0.0003,-47982.2727
"48","29 40",2972.0000,0.9864,0.0003,-231780.5366
"52","66",3010.0000,0.9451,0.0003,-54964.0000
"66","52",3010.0000,0.9964,0.0003,-874442.1818
"62","56",2923.0000,0.9552,0.0003,-67454.0146
"56","62",2923.0000,0.9676,0.0003,-94298.3571
"60","58",3148.0000,0.9997,0.0003,-10057906.0000
"58","60",3148.0000,0.9853,0.0003,-213997.0213
"7 60","52",3020.0000,0.9964,0.0003,-877336.7273
"52 60","7",3020.0000,0.9624,0.0003,-81774.1525
"7 52","60",3020.0000,0.9853,0.0003,-214413.7778
"60","7 52",3020.0000,0.9590,0.0003,-74794.8527
"7","52 60",3020.0000,0.9818,0.0003,-172310.9286
"52","7 60",3020.0000,0.9482,0.0003,-58488.1818
"29 56","34",2880.0000,0.9581,0.0003,-72501.8571
"29 34","56",2880.0000,0.9486,0.0003,-58773.8462
"34 56","29",2880.0000,0.9986,0.0003,-2292780.0000
"29","34 56",2880.0000,0.9054,0.0003,-30467.8505
"56","29 34",2880.0000,0.9533,0.0003,-65026.4894
"34","29 56",2880.0000,0.9474,0.0003,-57095.0000
"62","58",3060.0000,1.0000,0.0003,Infinity
"58","62",3060.0000,0.9577,0.0003,-72396.3333
"7 62","52",2929.0000,0.9963,0.0003,-850996.3636
"52 62","7",2929.0000,0.9606,0.0003,-78130.6250
"7 52","62",2929.0000,0.9556,0.0003,-68939.9632
"62","7 52",2929.0000,0.9572,0.0003,-71571.2977
"7","52 62",2929.0000,0.9522,0.0003,-63779.9184
"52","7 62",2929.0000,0.9196,0.0003,-36565.2930
"29 58","34",3035.0000,0.9544,0.0003,-66648.4138
"29 34","58",3035.0000,0.9997,0.0003,-9696984.0000
"34 58","29",3035.0000,0.9987,0.0003,-2416005.0000
"29","34 58",3035.0000,0.9541,0.0003,-66190.9452
"58","29 34",3035.0000,0.9499,0.0003,-60605.1563
"34","29 58",3035.0000,0.9984,0.0003,-1932832.0000
"56 58","7",2918.0000,0.9662,0.0003,-91044.1176
